Id,Name,Latitude,Longitude,Buddy,Visible,Announce
88,10th & Jordan (),39.171436,-86.515572,10th &Jordan,Yes,Yes
105,10th and Jordan Tulip Tree Detour (Inbound) (NA),39.172012,-86.515564,none,Yes,Yes
33,10th & Jordan,39.171673,-86.515701,10th and Jordan (),Yes,Yes
42,10th & Sunrise,39.171501,-86.512497,none,Yes,No
13,10th & Woodlawn,39.171459,-86.523460,none,Yes,No
111,17th and Fee,39.179012,-86.519218,none,Yes,Yes
114,19th and Dunn,39.181000,-86.528381,none,Yes,Yes
6,3rd & Jordan,39.164314,-86.517448,none,Yes,Yes
117,7th and Jordan,39.168880,-86.515991,none,Yes,No
103,7th and Sunrise,39.168575,-86.512344,School of Education,Yes,No
57,7th & Union (),39.168041,-86.510498,Union & 7th,Yes,Yes
82,7th & Washington,39.168480,-86.532494,none,Yes,Yes
118,7th & Woodlawn,39.168621,-86.523613,none,Yes,No
39,Alumni Center,39.179001,-86.521576,Assembly Hall (),Yes,No
35,Assembly Hall (),39.178997,-86.521835,Alumni Center,Yes,No
96,Atwater Garage,39.163399,-86.522575,none,Yes,Yes
65,Auditorium,39.168472,-86.518692,none,Yes,Yes
78,Auditorium (X),39.168610,-86.518608,none,Yes,Yes
26,Balfour,39.182404,-86.512680,Balfour (),Yes,No
22,Balfour (),39.182362,-86.512444,Balfour,Yes,No
48,Bicknell,39.176765,-86.509048,Bicknell (),Yes,No
61,Bicknell (),39.176697,-86.508949,Bicknell,Yes,No
100,Bonefish Grill (NA),39.906681,-86.093376,none,Yes,Yes
38,Briscoe,39.178226,-86.518921,Briscoe (),Yes,No
34,Briscoe (),39.178177,-86.518814,Briscoe,Yes,No
120,Bus Barn,39.153393,-86.535103,none,Yes,Yes
50,Campus View,39.173618,-86.509789,Campus View (),Yes,No
59,Campus View (),39.173183,-86.509560,Campus View,Yes,No
110,Chi Omega,39.171692,-86.517937,none,Yes,Yes
21,Chi Omega (),39.181000,-86.511101,Kappa Sigma,Yes,No
123,College and First,39.159348,-86.534973,none,Yes,Yes
90,College Mall,39.162212,-86.497810,College Mall)),Yes,Yes
89,College Mall (),39.163254,-86.498260,College MAI,Yes,Yes
106,College Mall End (NA),39.155388,-86.496002,none,Yes,Yes
109,DoubleMap Visibility Test,39.164310,-86.523567,none,No,No
58,Eigenmann,39.170910,-86.509354,Union & 10th,Yes,No
47,Everrnann,39.177689,-86.508217,Everrnann Redbud,Yes,Yes
71,Evermann (),39.177765,-86.508263,Evermann,Yes,Yes
62,Evermann Redbud,39.177795,-86.507042,Evermann,Yes,No
99,Fisher Court,39.184006,-86.516914,Fisher Court (),Yes,Yes
24,Fisher Court (),39.184029,-86.516808,Fisher Court,No,Yes
46,Forest,39.164345,-86.512802,none,Yes,Yes
30,Foster,39.175671,-86.518944,McNutt,Yes,Yes
